"Nomes","Valor","Cluster"
"Tênis Asics Gel-Pulse 15 Se Masculino",446.19,2
"Tênis Adidas Breaknet Masculino",199.99,1
"Tênis Fila Float Maxxi 2 Masculino",699.99,3
"Tênis Adidas Breaknet Masculino",199.99,1
"Tênis Masculino Adidas Grand Court Base",209.99,1
"Tênis Asics Gel-Equation 13 Masculino",329.99,2
"Tênis Asics Gel-Equation 13 Masculino",499.99,2
"Tênis Asics Gel-Cumulus 26 Masculino",792.88,3
"Tênis Asics Gel-Pulse 15 Se Masculino",446.19,2
"Tênis Asics Gel-Impression 11 Masculino",223.09,1
"Tênis Asics Gel-Sparta 2 Masculino",465.59,2
"Tênis Adidas Advantage Masculino",219.99,1
"Tênis Olympikus Luminus Masculino",179.99,1
"Tênis Adidas Advantage Base Masculino",199.99,1
"Tênis Asics Gel-Sparta 2 Masculino",299.99,2
"Tênis Mizuno Wave Rider 27 Masculino",484.99,2
"Tênis Asics Gel-Sparta 2 Masculino",290.99,1
"Tênis Masculino Asics Gel-Excite 10",459,2
"Tênis Masculino Adidas Runfalcon 3",279.99,1
"Tênis Asics Gel-Sparta 2 Masculino",290.99,1
"Tênis Asics Gel-Backhand Masculino",339.99,2
"Tênis Asics Upcourt 5 Masculino",368.59,2
"Tênis Mizuno Cool Ride 2 Masculino",290.99,1
"Tênis Masculino Asics Gel-Excite 10",446.19,2
"Tênis Asics Gel-Cumulus 26 Masculino",812.15,3
"Tênis Asics Gel-Cumulus 26 Masculino",678.99,2
"Tênis Asics Gel-Hypersonic 4 Masculino",399.99,2
"Tênis Masculino Adidas Ultra Energy",232.79,1
"Tênis Asics Gel-Hypersonic 4 Masculino",499.99,2
"Tênis Masculino Adidas Grand Court Base",208.99,1
"Tênis Asics Japan S Masculino",337.63,2
"Tênis Asics Gel-Pulse 15 Se Masculino",446.19,2
"Tênis Olympikus Proof 3 Masculino",199.99,1
"Tênis Masculino Adidas Grand Court Base",189.99,1
"Tênis Mizuno Wave Titan 3 Masculino",279.99,1
"Tênis Asics Gel-Pacemaker 4 Masculino",329.79,2
"Tênis Asics Patriot 13 Masculino",290.99,1
"Tênis Adidas Advantage Base Court Lifestyle Masculino",169.99,1
"Tênis Olympikus Dynamic Masculino",279.99,1
"Tênis Asics Gt-1000 12 Masculino",484.99,2
"Tênis Masculino Adidas Vl Court Base",249.99,1
"Tênis Asics Gel-Cumulus 26 Masculino",872.99,3
"Tênis Asics Dynablast 3 Masculino",484.99,2
"Tênis Adidas Ultrabounce Run Masculino",387.99,2
"Tênis Asics Dynablast 4 Masculino",387.99,2
"Tênis Adidas Advantage Base Masculino",199.99,1
"Tênis Masculino Adidas Grand Court Base",199.99,1
"Tênis Couro Democrata Denin Drake Pulse Masculino",360.9,2
"Tênis Fila Float Maxxi 2 Pro Masculino",859.9,3
"Tênis Lacoste Europa Pro Masculino",336.83,2
"Tênis Asics Gel-Dedicate 8 Clay Saibro Masculino",548.88,2
"Tênis Asics Gel-Sparta 2 Masculino",299.99,2
"Tênis Asics Versablast 2 Se Masculino",247.9,1
"Tênis Asics Gel-Rocket 11 Masculino",399.99,2
"Tênis Masculino Adidas Vl Court Base",239.98,1
"Tênis Mizuno Wave Dynasty 6 Masculino",271.59,1
"Tênis Couro Fila Acd Classic Masculino",304.89,2
"Tênis Fila Racer Nairobi Masculino",261.89,1
"Tênis Asics Dynablast 4 Masculino",368.59,2
"Tênis Fila KR6 Masculino",359.1,2
"Tênis Asics Fuzeblast Se Masculino",324.89,2
"Tênis Asics Gel-Rebound Masculino",319.99,2
"Tênis Masculino Fila Racer Spider",399.9,2
"Tênis Adidas Advantage Base Masculino",179.99,1
"Tênis Asics Gel-Pacemaker 4 Masculino",339.49,2
"Tênis Asics Gel-Rocket 11 Masculino",443.88,2
"Tênis Asics Gel-Rocket 11 Masculino",443.88,2
"Tênis Asics Gel-Sparta 2 Masculino",465.59,2
"Tênis Fila KR6 Masculino",404.99,2
"Tênis Fila Venture Tracer Masculino",229.98,1
"Tênis Fila Racer Gripper Masculino",223.09,1
"Tênis Mizuno Space 4 Masculino",320.09,2
"Tênis Masculino Adidas Vl Court Base",249.99,1
"Tênis Adidas Response Masculino",499.99,2
"Tênis Adidas Urban Court Masculino",199.49,1
"Tênis New Balance 480 Low Masculino",409.99,2
"Tênis Masculino Adidas Coreracer",203.69,1
"Tênis Adidas Supernova Stride Masculino",539.99,2
"Tênis Olympikus Index 3 Masculino",189.99,1
"Tênis Couro Adidas Grand Court Base 2.0 Masculino",199.99,1
"Tênis Fila Float Prime Masculino",369.9,2
"Tênis Mizuno Raijuu 2 Masculino",223.09,1
"Tênis Fila Lugano 7.0 Masculino",360.9,2
"Tênis Adidas Advantage Masculino",219.99,1
"Tênis Adidas Lite Racer 3 0 Masculino",210.52,1
"Tênis Infantil Olympikus Maneiro Masculino",199.99,1
"Tênis Olympikus Delta Masculino",129.99,1
"Tênis Puma Haste SL Bdp Masculino",242.49,1
"Tênis Olympikus Eros Masculino",179.79,1
"Tênis Mizuno Advance Masculino",449.99,2
"Tênis Mizuno Cool Ride 2 Masculino",290.99,1
"Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia",69.9,1
"Tênis Mizuno Advance Masculino",399.99,2
"Tênis Adidas Courtflash Speed Masculino",397.69,2
"Tênis Mizuno Victory Masculino",379.99,2
"Tênis Adidas Response Super Masculino",489.9,2
"Kit 3 Tênis Esportivo Masculino Cadarço Academia Fitness",184.9,1
"Tênis Mizuno Wave Creation 24 Masculino",612.5,2
"Tênis Masculino Adidas Supernova 3",728.19,3
"Tênis Adidas Ultrabounce Run Masculino",397.69,2
"Tênis Fila Float Elite Masculino",449.9,2
"Tênis Nike Quest 5 Masculino",313.49,2
"Tênis Adidas Duramo Sl Masculino",290.99,1
"Tênis Mizuno Advance Masculino",349.19,2
