Nomes;Valor;;
Tênis Asics Gel-Pulse 15 Se Masculino;R$ 446,19;;
"              """;;;
Tênis Adidas Breaknet Masculino;R$ 199,99;;
Tênis Fila Float Maxxi 2 Masculino;R$ 699,99;;
Tênis Adidas Breaknet Masculino;R$ 199,99;;
Tênis Masculino Adidas Grand Court Base;R$ 209,99;;
Tênis Asics Gel-Equation 13 Masculino;R$ 329,99;;
Tênis Asics Gel-Equation 13 Masculino;R$ 499,99;;
Tênis Asics Gel-Cumulus 26 Masculino;R$ 792,88;;
Tênis Asics Gel-Pulse 15 Se Masculino;R$ 446,19;;
"              """;;;
Tênis Asics Gel-Impression 11 Masculino;R$ 223,09;;
"              """;;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 465,59;;
"              """;;;
Tênis Adidas Advantage Masculino;R$ 219,99;;
Tênis Olympikus Luminus Masculino;R$ 179,99;;
Tênis Adidas Advantage Base Masculino;R$ 199,99;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 299,99;;
Tênis Mizuno Wave Rider 27 Masculino;R$ 484,99;;
"              """;;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 290,99;;
"              """;;;
Tênis Masculino Asics Gel-Excite 10;R$ 459,00;;
Tênis Masculino Adidas Runfalcon 3;R$ 279,99;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 290,99;;
"              """;;;
Tênis Asics Gel-Backhand Masculino;R$ 339,99;;
Tênis Asics Upcourt 5 Masculino;R$ 368,59;;
"              """;;;
Tênis Mizuno Cool Ride 2 Masculino;R$ 290,99;;
"              """;;;
Tênis Masculino Asics Gel-Excite 10;R$ 446,19;;
"              """;;;
Tênis Asics Gel-Cumulus 26 Masculino;R$ 812,15;;
"              """;;;
Tênis Asics Gel-Cumulus 26 Masculino;R$ 678,99;;
"              """;;;
Tênis Asics Gel-Hypersonic 4 Masculino;R$ 399,99;;
Tênis Masculino Adidas Ultra Energy;R$ 232,79;;
"              """;;;
Tênis Asics Gel-Hypersonic 4 Masculino;R$ 499,99;;
Tênis Masculino Adidas Grand Court Base;R$ 208,99;;
"              """;;;
Tênis Asics Japan S Masculino;R$ 337,63;;
"              à vista""";;;
Tênis Asics Gel-Pulse 15 Se Masculino;R$ 446,19;;
"              """;;;
Tênis Olympikus Proof 3 Masculino;R$ 199,99;;
Tênis Masculino Adidas Grand Court Base;R$ 189,99;;
Tênis Mizuno Wave Titan 3 Masculino;R$ 279,99;;
Tênis Asics Gel-Pacemaker 4 Masculino;R$ 329,79;;
"              """;;;
Tênis Asics Patriot 13 Masculino;R$ 290,99;;
"              """;;;
Tênis Adidas Advantage Base Court Lifestyle Masculino;R$ 169,99;;
Tênis Olympikus Dynamic Masculino;R$ 279,99;;
Tênis Asics Gt-1000 12 Masculino;R$ 484,99;;
"              """;;;
Tênis Masculino Adidas Vl Court Base;R$ 249,99;;
"              """;;;
Tênis Asics Gel-Cumulus 26 Masculino;R$ 872,99;;
"              """;;;
Tênis Asics Dynablast 3 Masculino;R$ 484,99;;
"              """;;;
Tênis Adidas Ultrabounce Run Masculino;R$ 387,99;;
"              """;;;
Tênis Asics Dynablast 4 Masculino;R$ 387,99;;
"              """;;;
Tênis Adidas Lite Racer 3 0 Masculino;R$ 0,00;;
Tênis Asics Gelburst 27 Masculino;R$ 0,00;;
Tênis Asics Versablast 2 Se Masculino;R$ 0,00;;
Tênis Masculino Fila Racer Spider;R$ 0,00;;
Tênis Asics Fuzeblast Se Masculino;R$ 0,00;;
Tênis Masculino Adidas Coreracer;R$ 0,00;;
Tênis Adidas Advantage Base Court Lifestyle Masculino;R$ 0,00;;
Tênis Asics Patriot 13 Masculino;R$ 0,00;;
Tênis Couro Fila Acd Classic Masculino;R$ 0,00;;
Tênis Couro Fila Acd Classic Masculino;R$ 0,00;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 0,00;;
Tênis Fila Racer Nairobi Masculino;R$ 0,00;;
Tênis Asics Gel-Rebound Masculino;R$ 0,00;;
Tênis Fila Float Maxxi 2 Pro Masculino;R$ 0,00;;
Tênis Masculino Adidas Grand Court Base;R$ 0,00;;
Tênis Masculino Adidas Ultra Energy;R$ 0,00;;
Tênis Adidas VS Pace 2.0 Masculino;R$ 0,00;;
Tênis Masculino Adidas Vl Court Base;R$ 0,00;;
Tênis Adidas Advantage Base Masculino;R$ 199,99;;
Tênis Masculino Adidas Grand Court Base;R$ 199,99;;
Tênis Couro Democrata Denin Drake Pulse Masculino;R$ 360,90;;
"              """;;;
Tênis Fila Float Maxxi 2 Pro Masculino;R$ 859,90;;
Tênis Lacoste Europa Pro Masculino;R$ 336,83;;
Tênis Asics Gel-Dedicate 8 Clay Saibro Masculino;R$ 548,88;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 299,99;;
Tênis Asics Versablast 2 Se Masculino;R$ 247,90;;
Tênis Asics Gel-Rocket 11 Masculino;R$ 399,99;;
Tênis Masculino Adidas Vl Court Base;R$ 239,98;;
"              """;;;
Tênis Mizuno Wave Dynasty 6 Masculino;R$ 271,59;;
"              """;;;
Tênis Couro Fila Acd Classic Masculino;R$ 304,89;;
Tênis Fila Racer Nairobi Masculino;R$ 261,89;;
"              """;;;
Tênis Asics Dynablast 4 Masculino;R$ 368,59;;
"              """;;;
Tênis Fila KR6 Masculino;R$ 359,10;;
Tênis Asics Fuzeblast Se Masculino;R$ 324,89;;
"              à vista""";;;
Tênis Asics Gel-Rebound Masculino;R$ 319,99;;
Tênis Masculino Fila Racer Spider;R$ 399,90;;
Tênis Adidas Advantage Base Masculino;R$ 179,99;;
Tênis Asics Gel-Pacemaker 4 Masculino;R$ 339,49;;
"              """;;;
Tênis Asics Gel-Rocket 11 Masculino;R$ 443,88;;
Tênis Asics Gel-Rocket 11 Masculino;R$ 443,88;;
Tênis Asics Gel-Sparta 2 Masculino;R$ 465,59;;
"              """;;;
Tênis Fila KR6 Masculino;R$ 404,99;;
Tênis Asics Upcourt 5 Masculino;R$ 0,00;;
Tênis Mizuno Victory Masculino;R$ 0,00;;
Tênis Adidas Park Street Masculino;R$ 0,00;;
Tênis Fila Racer Comet Masculino;R$ 0,00;;
Tênis Olympikus Triunfo 3 Masculino;R$ 0,00;;
Tênis Adidas Advantage Masculino;R$ 0,00;;
Tênis Fila Venture Tracer Masculino;R$ 229,98;;
"              """;;;
Tênis Fila Racer Gripper Masculino;R$ 223,09;;
"              """;;;
Tênis Mizuno Space 4 Masculino;R$ 320,09;;
"              """;;;
Tênis Masculino Adidas Vl Court Base;R$ 249,99;;
"              """;;;
Tênis Adidas Response Masculino;R$ 499,99;;
Tênis Adidas Urban Court Masculino;R$ 199,49;;
"              """;;;
Tênis New Balance 480 Low Masculino;R$ 409,99;;
"              """;;;
Tênis Masculino Adidas Coreracer;R$ 203,69;;
"              """;;;
Tênis Adidas Supernova Stride Masculino;R$ 539,99;;
Tênis Olympikus Index 3 Masculino;R$ 189,99;;
Tênis Couro Adidas Grand Court Base 2.0 Masculino;R$ 199,99;;
Tênis Fila Float Prime Masculino;R$ 369,90;;
Tênis Mizuno Raijuu 2 Masculino;R$ 223,09;;
"              """;;;
Tênis Fila Lugano 7.0 Masculino;R$ 360,90;;
Tênis Adidas Advantage Masculino;R$ 219,99;;
Tênis Puma Caven 2.0 Bdp Masculino;R$ 0,00;;
Tênis Adidas Hoops 3.0 Masculino;R$ 0,00;;
Tênis Adidas Duramo SL Masculino;R$ 0,00;;
Tênis Adidas Lite Racer 3 0 Masculino;R$ 210,52;;
Tênis Infantil Olympikus Maneiro Masculino;R$ 199,99;;
Tênis Olympikus Delta Masculino;R$ 129,99;;
Tênis Puma Haste SL Bdp Masculino;R$ 242,49;;
"              """;;;
Tênis Olympikus Eros Masculino;R$ 179,79;;
Tênis Mizuno Advance Masculino;R$ 449,99;;
"              à vista""";;;
Tênis Mizuno Cool Ride 2 Masculino;R$ 290,99;;
"              """;;;
Tênis Masculino Esporte Cadarço Academia Corrida Dia a Dia;R$ 69,90;;
"              """;;;
Tênis Mizuno Advance Masculino;R$ 399,99;;
Tênis Adidas Courtflash Speed Masculino;R$ 397,69;;
"              """;;;
Tênis Mizuno Victory Masculino;R$ 379,99;;
Tênis Adidas Response Super Masculino;R$ 489,90;;
Kit 3 Tênis Esportivo Masculino Cadarço Academia Fitness;R$ 184,90;;
"              """;;;
Tênis Mizuno Wave Creation 24 Masculino;R$ 612,50;;
Tênis Masculino Adidas Supernova 3;R$ 728,19;;
"              à vista""";;;
Tênis Adidas Ultrabounce Run Masculino;R$ 397,69;;
"              """;;;
Tênis Fila Float Elite Masculino;R$ 449,90;;
Tênis Nike Quest 5 Masculino;R$ 313,49;;
"              à vista""";;;
Tênis Adidas Duramo Sl Masculino;R$ 290,99;;
"              """;;;
